dataset,fraction_rows,wall_time_sec,cir_agreement,proj_residual,sym_kl,jaccard_at_8
sensor_fusion,0.4,0.1325361728668213,5.338067043179419e-05,0.19469727219594968,0.01673075939522457,0.999999999999875
sensor_fusion,0.6,0.14449262619018555,4.114872405017026e-05,0.17634705562423492,0.013983712044500492,0.999999999999875
sensor_fusion,0.8,0.15375137329101562,8.873915498907304e-06,0.1481798917598584,0.008424879977402802,0.999999999999875
sensor_fusion,1.0,0.16301178932189941,1.2219143291311305e-06,0.04366793700822946,0.004565577079710973,0.999999999999875
gene_expression,0.2,2.7492589950561523,0.001168855314033428,0.6536034400189948,0.3419876246037892,0.06666666666666222
gene_expression,0.3,3.5263943672180176,0.00013309939724902306,0.6135044511856754,0.24713893529830838,0.14285714285713266
gene_expression,0.4,5.583059787750244,0.00018248276559476527,0.5613677469375666,0.18638208608960605,0.06666666666666222
gene_expression,0.6,9.103225708007812,6.840180316669487e-05,0.4582209354603714,0.10273345577116388,0.14285714285713266
gene_expression,0.8,11.026077032089233,5.79723028055634e-06,0.3228492681408054,0.033677281353264345,0.14285714285713266
gene_expression,1.0,12.775386810302734,2.5411514283143958e-09,0.005789740108729161,0.0002447847968830297,0.999999999999875
network_topology,0.2,0.040452003479003906,0.0024883079524618337,0.3372404733668206,0.0031732608980988885,0.9999999999997999
network_topology,0.3,0.05711674690246582,0.00021854798143437055,0.3089570288255248,0.0036907651328654143,0.9999999999997999
network_topology,0.4,0.07012295722961426,6.061344422727148e-05,0.27657636845700717,0.00505663921772012,0.9999999999997999
network_topology,0.6,0.06760859489440918,4.753334917040161e-05,0.2253620362242476,0.004184044960306374,0.9999999999997999
network_topology,0.8,0.07488489151000977,3.908258917523137e-06,0.17194804015013354,0.002082046138526702,0.9999999999997999
network_topology,1.0,0.07556843757629395,0.00037709954016567867,0.07612708628434454,0.004432085867330569,0.9999999999997999
