dataset,method,fraction_kept,insertion,deletion
diabetes,MI(pred),0.5,0.05553062050027724,-0.23888381257627955
diabetes,MI(pred),0.625,0.07552780408616666,-0.28736541133046223
diabetes,MI(pred),0.75,0.0638166115305121,-0.39526557323561184
diabetes,MI(pred),0.875,0.0638329012989014,-0.3607043652653539
diabetes,MI(pred),1.0,0.13671404461276837,-0.9905188605329662
diabetes,MI(label),0.0,-0.04378506342084765,-0.0511121908645209
diabetes,MI(label),0.125,-0.04378506342084765,-0.0511121908645209
diabetes,MI(label),0.25,-0.004298839577134395,-0.2890875240039392
diabetes,MI(label),0.375,0.015347568974431236,-0.3249415304231442
diabetes,MI(label),0.5,0.08926677544167161,-0.31716575807604475
diabetes,MI(label),0.625,0.07552780408616666,-0.28736541133046223
diabetes,MI(label),0.75,0.0638166115305121,-0.39526557323561184
